Opis;Tytuł programu
BOXING WORLD WEEKLY;BOXING WORLD WEEKLY
EPG;Ekstraklasa Po Godzinach
EKSTRAPAKA;Liga Polska - Ekstraklasa
ESA SKRÓT;Liga Polska - Ekstraklasa
ESA SKRÓT + ESA HIGHLIGHT SHOW;Liga Polska - Ekstraklasa
ODPRAWA PRZEDMECZOWA;Liga Polska - Ekstraklasa
PIŁKARSKI MŁYN;Liga Polska - Ekstraklasa
LIGA+;Liga+
Liga od Kuchni;Liga+Extra
LIGA+EXTRA;Liga+Extra
KRONIKI LALIGA;"Magazyn LALIGA (Kroniki; World; Show)"
LALIGA SHOW;"Magazyn LALIGA (Kroniki; World; Show)"
LALIGA WORLD;"Magazyn LALIGA (Kroniki; World; Show)"
MAGAZYN SKRÓTÓW LALIGA EA SPORTS;"Magazyn LALIGA (Kroniki; World; Show)"
BASKET OFFICE;NBA ACTION
BASKET+;NBA ACTION
NBA ACTION;NBA ACTION
SPORT+;SPORT+ 
EKSTRAKLASA HIGHLIGHTS SHOW;SPORT+ 
SUPER PIĄTEK;Superpiątek
RAPORT TENISOWY;Tenis WTA
STUDIO TENIS;Tenis WTA
TENIS RAPORT;Tenis WTA
TURBOKOZAK;Turbokozak
TURBOKOZAK EXTRA;Turbokozak
LIGA MISTRZÓW;UEFA Champions League
LIGA MISTRZÓW SKRÓT;UEFA Champions League
LIGA MISTRZÓW STUDIO LM;UEFA Champions League
Champions Club;UEFA Champions League
STUDIO CC;UEFA Champions League
MAGAZYN CC;UEFA Champions League
MAGAZYN LIGI MISTRZÓW;UEFA Champions League
WYSOKI PRESSING;Wysoki Pressing
WYSOKI PRESSING NEWS;Wysoki Pressing
Ekstraklasowe historie Youtube;"YOUTUBE (Piłkarski Młyn; Burza Mózgów; Kolegium Żużlowe)"
ESA SKRÓTY YOUTUBE;"YOUTUBE (Piłkarski Młyn; Burza Mózgów; Kolegium Żużlowe)"
YOUTUBE;"YOUTUBE (Piłkarski Młyn; Burza Mózgów; Kolegium Żużlowe)"
